last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate
Wainwright, Adam,425794,2022,0.27,0.419,0.328,0.326,0.148,87.8,11,6.5
Verlander, Justin,434378,2022,0.207,0.331,0.255,0.248,0.124,87.8,16.9,6.3
Kluber, Corey,446372,2022,0.261,0.416,0.31,0.294,0.155,87.1,18.5,6.9
Morton, Charlie,450203,2022,0.228,0.389,0.314,0.315,0.161,89.3,13.6,9.5
Quintana, Jose,500779,2022,0.257,0.377,0.305,0.312,0.12,86.5,9.9,5.5
Gibson, Kyle,502043,2022,0.262,0.42,0.326,0.32,0.158,88.5,10.6,7.5
Darvish, Yu,506433,2022,0.227,0.388,0.291,0.275,0.161,88.5,17,8.8
Kelly, Merrill,518876,2022,0.23,0.383,0.296,0.291,0.153,88.5,14,8.3
Perez, Martin,527048,2022,0.242,0.346,0.295,0.311,0.105,88.2,8.1,4.3
Anderson, Tyler,542881,2022,0.225,0.35,0.275,0.272,0.124,85,16.9,4.9
Cole, Gerrit,543037,2022,0.214,0.383,0.284,0.266,0.169,89.4,12.6,9.5
Lyles, Jordan,543475,2022,0.267,0.452,0.341,0.325,0.184,88.6,15.3,10.4
Mikolas, Miles,571945,2022,0.252,0.4,0.306,0.294,0.148,87.8,11,6.9
Gausman, Kevin,592332,2022,0.242,0.38,0.285,0.272,0.138,89,12.2,8.1
Ray, Robbie,592662,2022,0.223,0.373,0.295,0.292,0.15,89.7,14.7,7.9
Taillon, Jameson,592791,2022,0.26,0.432,0.317,0.297,0.172,88.5,14.5,8.3
Gonzales, Marco,594835,2022,0.267,0.435,0.33,0.32,0.169,86.7,14.5,7.2
Pivetta, Nick,601713,2022,0.248,0.433,0.332,0.324,0.185,90.7,15.2,9
Bassitt, Chris,605135,2022,0.228,0.359,0.29,0.291,0.132,85.7,10.8,6.6
Musgrove, Joe,605397,2022,0.225,0.351,0.282,0.284,0.126,86.4,11.7,6
Nola, Aaron,605400,2022,0.211,0.34,0.259,0.248,0.129,87.7,12.5,7.1
Rodon, Carlos,607074,2022,0.198,0.309,0.254,0.26,0.111,89,19.4,6.5
Freeland, Kyle,607536,2022,0.271,0.455,0.346,0.337,0.184,89.8,12.7,9.7
Fried, Max,608331,2022,0.227,0.328,0.264,0.266,0.101,86.2,7.6,4
Irvin, Cole,608344,2022,0.258,0.451,0.324,0.301,0.192,89.4,15.5,9.6
Marquez, German,608566,2022,0.256,0.423,0.327,0.321,0.167,90.5,9.1,7.1
Quantrill, Cal,615698,2022,0.258,0.417,0.321,0.313,0.159,87.6,13.8,7.5
Berrios, Jose,621244,2022,0.275,0.466,0.346,0.329,0.191,90,13.9,9.5
Urias, Julio,628711,2022,0.205,0.332,0.262,0.258,0.128,86.7,17.2,6.7
Lopez, Pablo,641154,2022,0.239,0.378,0.301,0.302,0.138,87.9,11,9
Alcantara, Sandy,645261,2022,0.215,0.331,0.267,0.268,0.116,87.8,5.5,5.3
Cease, Dylan,656302,2022,0.184,0.292,0.257,0.273,0.109,86.8,15,6.2
Montgomery, Jordan,656756,2022,0.258,0.4,0.31,0.303,0.143,88.5,9.8,7.1
Wright, Kyle,657140,2022,0.244,0.384,0.306,0.308,0.139,89,4.4,6.8
Webb, Logan,657277,2022,0.247,0.364,0.295,0.301,0.116,88.9,3.1,5.5
Ohtani, Shohei,660271,2022,0.204,0.311,0.256,0.26,0.107,87.1,14.5,6.3
McKenzie, Triston,663474,2022,0.222,0.397,0.293,0.274,0.175,90.2,19.7,9.8
McClanahan, Shane,663556,2022,0.207,0.332,0.261,0.257,0.126,87.6,8.3,6.4
Valdez, Framber,664285,2022,0.227,0.33,0.284,0.301,0.102,89.8,-3.6,5.8
Urquidy, Jose,664353,2022,0.256,0.451,0.329,0.306,0.194,89.7,17.2,9.4
Manoah, Alek,666201,2022,0.224,0.343,0.284,0.29,0.118,87.5,16.9,5.4
Gallen, Zac,668678,2022,0.213,0.341,0.278,0.279,0.127,87.8,10.8,7.8
Burnes, Corbin,669203,2022,0.212,0.337,0.273,0.275,0.124,87.2,10,5.7
Gilbert, Logan,669302,2022,0.253,0.408,0.314,0.308,0.155,91,14.6,7.1
Bieber, Shane,669456,2022,0.245,0.386,0.292,0.281,0.141,89.9,10,7.2
